servicios_web,coordenadas
1,1
1,2
1,6
1,7
2,2
2,4
2,6
3,2
3,4
3,6
4,2
4,4
4,6
5,7
5,5
5,6
5,4
5,2
5,1
6,1
6,2
6,6
6,7
7,7
7,4
7,2
7,6
8,6
8,2
8,4
9,4
9,2
9,7
9,6
10,7
10,6
10,2
10,4
11,2
11,6
11,4
12,6
12,4
12,2
13,2
13,5
13,4
13,6
13,7
14,6
14,1
14,3
14,5
14,2
14,4
15,2
15,3
15,4
15,5
15,6
16,2
16,3
16,4
16,5
16,6
17,2
17,3
17,4
17,5
17,6
18,2
18,3
18,4
18,5
18,6
19,2
19,4
19,6
20,2
20,4
20,6
21,2
21,4
21,6
22,2
22,4
22,6
23,2
23,4
23,6
24,2
24,4
24,6
25,2
25,4
25,6
26,2
26,4
26,6
27,2
27,4
27,6
28,2
28,4
28,6
29,2
29,4
29,6
30,6
30,2
30,4
31,4
31,6
31,2
32,4
32,6
32,2
33,2
33,6
33,4
34,2
34,4
34,6
35,2
35,6
35,4
36,2
36,6
37,6
37,2
37,4
38,2
38,6
38,4
39,2
39,4
39,6
40,6
40,2
40,4
41,4
41,2
41,6
42,4
42,2
42,6
43,2
43,6
43,4
44,4
44,2
44,6
45,2
45,6
45,4
46,6
46,5
46,1
46,2
46,4
46,3
47,6
47,2
47,4
48,6
48,4
48,2
49,7
49,4
49,6
49,2
50,4
50,7
50,2
50,6
51,7
51,4
51,2
51,6
52,6
52,2
53,4
53,5
53,1
53,2
53,6
53,3
54,5
54,6
54,1
54,3
54,4
54,2
55,4
55,5
55,2
55,6
55,1
55,3
56,3
56,1
56,5
56,6
56,2
56,4
57,6
57,4
57,5
57,3
57,2
57,1
58,1
58,3
58,2
58,6
58,5
58,4
59,2
59,6
59,4
59,5
59,3
59,1
60,2
60,1
60,5
60,4
60,6
60,3
61,2
61,4
61,6
61,5
61,3
61,1
62,2
62,3
62,6
62,5
62,1
62,4
63,1
63,4
63,2
63,3
63,6
63,5
64,5
64,4
64,3
64,6
64,2
64,1
65,4
65,6
65,2
65,1
65,3
65,5
66,2
66,4
66,1
66,3
66,5
66,6
67,5
67,4
67,6
67,3
67,1
67,2
68,5
68,2
68,3
68,1
68,6
68,4
69,1
69,2
69,6
69,5
69,4
69,3
70,2
70,6
70,3
70,5
70,1
70,4
71,2
71,1
71,6
71,5
71,3
71,4
72,1
72,4
72,3
72,6
72,5
72,2
73,2
73,4
73,5
74,6
74,5
74,4
74,2
74,3
75,2
75,3
75,4
75,5
75,6
76,2
76,3
76,4
76,5
76,6
77,2
77,3
77,4
77,5
77,6
78,2
78,4
78,6
79,2
79,4
79,6
80,2
80,4
80,6
81,2
81,4
81,6
82,2
82,4
82,6
83,1
83,2
83,3
83,4
83,5
83,6
84,1
84,2
84,6
84,7
85,1
85,2
85,4
85,6
85,7
